,tijdstip;locatie;component;waarde;LKI
2019-01-02 23:00:00+01:00;Amsterdam-Vondelpark;NO2;34,4;4
2019-01-03 00:00:00+01:00;Amsterdam-Vondelpark;NO2;25,3;3
2019-01-03 00:00:00+01:00;Amsterdam-Vondelpark;O3;58,4;4
2019-01-03 00:00:00+01:00;Amsterdam-Vondelpark;PM10;12,9;2
2019-01-03 00:00:00+01:00;Amsterdam-Vondelpark;CO;286,8;2
2019-01-03 00:00:00+01:00;Amsterdam-Vondelpark;NO;0,5;1
2019-01-03 00:00:00+01:00;Amsterdam-Vondelpark;FN;0,4;1
2019-01-03 00:00:00+01:00;Amsterdam-Vondelpark;PM25;4,8;1
2019-01-03 01:00:00+01:00;Amsterdam-Vondelpark;CO;272,6;2
2019-01-03 01:00:00+01:00;Amsterdam-Vondelpark;NO;0,3;1
2019-01-03 01:00:00+01:00;Amsterdam-Vondelpark;O3;60,4;5
2019-01-03 01:00:00+01:00;Amsterdam-Vondelpark;FN;0,32;1
2019-01-03 01:00:00+01:00;Amsterdam-Vondelpark;PM10;11,6;2
2019-01-03 01:00:00+01:00;Amsterdam-Vondelpark;PM25;2,2;1
2019-01-03 01:00:00+01:00;Amsterdam-Vondelpark;NO2;21,1;3
